;body_0_r;body_0_rdot;body_0_phi;body_0_phidot;body_1_r;body_1_rdot;body_1_phi;body_1_phidot;body_2_r;body_2_rdot;body_2_phi;body_2_phidot
0;1.0000001;0.6154276679675686;0.0;1.2666968927520488;1.0000001;0.6154276679675686;3.141592653589793;1.2666968927520488;1e-07;1.2308553359351373;0.0;-1.8748957608377443
1;1.0006100276681176;0.6104249268962707;-0.00199999940000012;-2.00099757214765;1.0006100276681176;0.6104249268962707;3.139592654189793;-2.00099757214765;2000000000000000.2;2.0000000000000003e+18;-2.0000000000000003e+18;-2.0000000000000003e+21
2;1.0012209498537925;0.611416707019567;-0.003996343695060398;-1.9973406411368606;1.0012209498537925;0.611416707019567;3.137596309894733;-1.9973406411368606;4000000000000000.5;2.0000000000000003e+18;-2.0000000000000003e+18;-2.500156249999999e-46
3;1.0018328610821567;0.61240301564919;-0.005989035848224891;-1.9936866746761204;1.0018328610821567;0.61240301564919;3.1356036177415683;-1.9936866746761204;6000000000000001.0;2.0000000000000003e+18;-2.0000000000000003e+18;-3.1254629629629614e-47
4;1.002445755885091;0.6133838595711797;-0.007978078871481076;-1.9900357217330982;1.002445755885091;0.6133838595711797;3.133614574718312;-1.9900357217330982;8000000000000001.0;2.0000000000000003e+18;-2.0000000000000003e+18;-9.261212384259255e-48
5;1.0030596288012992;0.6143592456450891;-0.009963475825305861;-1.986387830821239;1.0030596288012992;0.6143592456450891;3.1316291777644873;-1.986387830821239;1.0000000000000002e+16;2.0000000000000003e+18;-2.0000000000000003e+18;-3.907249999999998e-48
6;1.0036744743763812;0.6153291808031932;-0.011945229818212905;-1.9827430500010887;1.0036744743763812;0.6153291808031932;3.1296474237715803;-1.9827430500010887;1.2000000000000002e+16;2.0000000000000003e+18;-2.0000000000000003e+18;-2.0005787037037027e-48
7;1.0042902871629056;0.6162936720496995;-0.013923344006301295;-1.979101426881642;1.0042902871629056;0.6162936720496995;3.1276693095834918;-1.979101426881642;1.4000000000000002e+16;2.0000000000000003e+18;-2.0000000000000003e+18;-1.1577718388942874e-48
8;1.0049070617204807;0.6172527264599628;-0.01589782159280559;-1.9754630086217155;1.0049070617204807;0.6172527264599628;3.1256948319969875;-1.9754630086217155;1.6000000000000002e+16;2.0000000000000003e+18;-2.0000000000000003e+18;-7.291071143859326e-49
9;1.0055247926158255;0.6182063511797018;-0.01786866582764726;-1.9718278419313413;1.0055247926158255;0.6182063511797018;3.123723987762146;-1.9718278419313413;1.8000000000000002e+16;2.0000000000000003e+18;-2.0000000000000003e+18;-4.884527177640601e-49
10;1.0061434744228401;0.6191545534242193;-0.019835880006987546;-1.9681959730731848;1.0061434744228401;0.6191545534242193;3.121756773582806;-1.9681959730731848;2.0000000000000004e+16;2.0000000000000003e+18;-2.0000000000000003e+18;-3.4306052812071315e-49
11;1.0067631017226741;0.6200973404776248;-0.021799467472781747;-1.964567447863977;1.0067631017226741;0.6200973404776248;3.1197931861170116;-1.964567447863977;2.2000000000000004e+16;2.0000000000000003e+18;-2.0000000000000003e+18;-2.500939143501126e-49
12;1.0073836691037954;0.6210347196920601;-0.023759431612334965;-1.9609423116759812;1.0073836691037954;0.6210347196920601;3.1178332219774583;-1.9609423116759812;2.4000000000000004e+16;2.0000000000000003e+18;-2.0000000000000003e+18;-1.879010381883573e-49
13;1.0080051711620581;0.6219666984869288;-0.02571577585785935;-1.9573206094384692;1.0080051711620581;0.6219666984869288;3.115876877731934;-1.9573206094384692;2.6000000000000004e+16;2.0000000000000003e+18;-2.0000000000000003e+18;-1.4473282169288079e-49
14;1.0086276025007692;0.6228932843481272;-0.027668503686032807;-1.9537023856392215;1.0086276025007692;0.6228932843481272;3.1139241499037604;-1.9537023856392215;2.8000000000000004e+16;2.0000000000000003e+18;-2.0000000000000003e+18;-1.1383708784573712e-49
15;1.0092509577307545;0.62381448482728;-0.02961761861755927;-1.9500876843260462;1.0092509577307545;0.62381448482728;3.111975034972234;-1.9500876843260462;3.0000000000000004e+16;2.0000000000000003e+18;-2.0000000000000003e+18;-9.114490875715362e-50
16;1.0098752314704238;0.6247303075409777;-0.031563124216730465;-1.946476549108323;1.0098752314704238;0.6247303075409777;3.110029529373063;-1.946476549108323;3.2000000000000004e+16;2.0000000000000003e+18;-2.0000000000000003e+18;-7.410459165219905e-50
17;1.0105004183458364;0.6256407601700182;-0.03350502409098927;-1.942869023158559;1.0105004183458364;0.6256407601700182;3.1080876294988045;-1.942869023158559;3.4000000000000004e+16;2.0000000000000003e+18;-2.0000000000000003e+18;-6.106059895303274e-50
18;1.0111265129907638;0.6265458504586511;-0.03544332189049464;-1.939265149213967;1.0111265129907638;0.6265458504586511;3.106149331699299;-1.939265149213967;3.6000000000000004e+16;2.0000000000000003e+18;-2.0000000000000003e+18;-5.090683953604793e-50
19;1.0117535100467536;0.6274455862138246;-0.037378021307688115;-1.9356649695780612;1.0117535100467536;0.6274455862138246;3.1042146322821056;-1.9356649695780612;3.800000000000001e+16;2.0000000000000003e+18;-2.0000000000000003e+18;-4.28851652460266e-50
20;1.0123814041631913;0.6283399753044371;-0.039309126076861954;-1.932068526122273;1.0123814041631913;0.6283399753044371;3.102283527512932;-1.932068526122273;4.000000000000001e+16;2.0000000000000003e+18;-2.0000000000000003e+18;-3.6464086874908852e-50
21;1.0130101899973625;0.6292290256605905;-0.0412366399737289;-1.9284758602875787;1.0130101899973625;0.6292290256605905;3.100356013616065;-1.9284758602875787;4.200000000000001e+16;2.0000000000000003e+18;-2.0000000000000003e+18;-3.126349746247704e-50
