;body_0_r;body_0_rdot;body_0_phi;body_0_phidot;body_1_r;body_1_rdot;body_1_phi;body_1_phidot;body_2_r;body_2_rdot;body_2_phi;body_2_phidot;body_3_r;body_3_rdot;body_3_phi;body_3_phidot;body_4_r;body_4_rdot;body_4_phi;body_4_phidot
0;1.0;-0.01;0.0;2.0;1.0;-0.01;1.2566370614359172;2.0;1.0;-0.01;-1.2566370614359172;2.0;1.0;-0.01;2.5132741228718345;2.0;1.0;-0.01;-2.5132741228718345;2.0
1;0.9999821645151408;-0.025671038125412417;-0.002;-2.0010000535083634;0.9999821645151408;-0.025671038125412417;1.2546370614359172;-2.0010000535083634;0.9999821645151408;-0.025671038125412417;-1.2586370614359172;-2.0010000535083634;0.9999821645151408;-0.025671038125412417;2.5112741228718347;-2.0010000535083634;0.9999821645151408;-0.025671038125412417;-2.5152741228718343;-2.0010000535083634
2;0.9999486579237491;-0.041342273166873875;-0.004000107016726523;-2.0011071707685693;0.9999486579237491;-0.041342273166873875;1.2526369544191907;-2.0011071707685693;0.9999486579237491;-0.041342273166873875;-1.2606371684526438;-2.0011071707685693;0.9999486579237491;-0.041342273166873875;2.5092740158551083;-2.0011071707685693;0.9999486579237491;-0.041342273166873875;-2.5172742298885606;-2.0011071707685693
3;0.999899479968807;-0.057013825322468306;-0.006000415100818841;-2.0013083857130476;0.999899479968807;-0.057013825322468306;1.2506366463350984;-2.0013083857130476;0.999899479968807;-0.057013825322468306;-1.262637476536736;-2.0013083857130476;0.999899479968807;-0.057013825322468306;2.507273707771016;-2.0013083857130476;0.999899479968807;-0.057013825322468306;-2.519274537972653;-2.0013083857130476
4;0.9998346302731042;-0.07268581477585807;-0.008001018342277635;-2.0016037377321036;0.9998346302731042;-0.07268581477585807;1.2486360430936396;-2.0016037377321036;0.9998346302731042;-0.07268581477585807;-1.2646380797781949;-2.0016037377321036;0.9998346302731042;-0.07268581477585807;2.5052731045295573;-2.0016037377321036;0.9998346302731042;-0.07268581477585807;-2.5212751412141117;-2.0016037377321036
5;0.9997541083392553;-0.08835836169078948;-0.010002010888895239;-2.0019932846555113;0.9997541083392553;-0.08835836169078948;1.246635050547022;-2.0019932846555113;0.9997541083392553;-0.08835836169078948;-1.2666390723248124;-2.0019932846555113;0.9997541083392553;-0.08835836169078948;2.5032721119829398;-2.0019932846555113;0.9997541083392553;-0.08835836169078948;-2.5232761337607292;-2.0019932846555113
6;0.9996579135497226;-0.10403158620557154;-0.012003486964709669;-2.0024771027763197;0.9996579135497226;-0.10403158620557154;1.2446335744712076;-2.0024771027763197;0.9996579135497226;-0.10403158620557154;-1.268640548400627;-2.0024771027763197;0.9996579135497226;-0.10403158620557154;2.5012706359071255;-2.0024771027763197;0.9996579135497226;-0.10403158620557154;-2.5252776098365435;-2.0024771027763197
7;0.9995460451668441;-0.11970560842752062;-0.01400554088849006;-2.0030552868822755;0.9995460451668441;-0.11970560842752062;1.2426315205474272;-2.0030552868822755;0.9995460451668441;-0.11970560842752062;-1.2706426023244073;-2.0030552868822755;0.9995460451668441;-0.11970560842752062;2.499268581983345;-2.0030552868822755;0.9995460451668441;-0.11970560842752062;-2.527279663760324;-2.0030552868822755
8;0.9994185023328676;-0.13538054842736352;-0.016008267092261132;-2.0037279502948784;0.9994185023328676;-0.13538054842736352;1.240628794343656;-2.0037279502948784;0.9994185023328676;-0.13538054842736352;-1.2726453285281785;-2.0037279502948784;0.9994185023328676;-0.13538054842736352;2.497265855779574;-2.0037279502948784;0.9994185023328676;-0.13538054842736352;-2.529282389964095;-2.0037279502948784
9;0.9992752840699894;-0.15105652623359167;-0.01801176013987435;-2.0044952249160968;0.9992752840699894;-0.15105652623359167;1.2386253012960429;-2.0044952249160968;0.9992752840699894;-0.15105652623359167;-1.2746488215757916;-2.0044952249160968;0.9992752840699894;-0.15105652623359167;2.495262362731961;-2.0044952249160968;0.9992752840699894;-0.15105652623359167;-2.531285883011708;-2.0044952249160968
