;body_0_r;body_0_rdot;body_0_phi;body_0_phidot;body_1_r;body_1_rdot;body_1_phi;body_1_phidot;body_2_r;body_2_rdot;body_2_phi;body_2_phidot;body_3_r;body_3_rdot;body_3_phi;body_3_phidot
0;1.0;-0.01;0.0;2.0;1.0;-0.01;1.5707963267948966;2.0;1.0;-0.01;-1.5707963267948966;2.0;1.0;-0.01;3.141592653589793;2.0
1;0.9999847573593129;-0.02048530031425871;-0.002;-2.0010000457293162;0.9999847573593129;-0.02048530031425871;1.5687963267948966;-2.0010000457293162;0.9999847573593129;-0.02048530031425871;-1.5727963267948966;-2.0010000457293162;0.9999847573593129;-0.02048530031425871;3.1395926535897933;-2.0010000457293162
2;0.9999590293993715;-0.0309706515322662;-0.00400009145863225;-2.001091581554124;0.9999590293993715;-0.0309706515322662;1.5667962353362643;-2.001091581554124;0.9999590293993715;-0.0309706515322662;-1.5747964182535288;-2.001091581554124;0.9999590293993715;-0.0309706515322662;3.137592562131161;-2.001091581554124
3;0.9999228160562484;-0.041456079693815276;-0.006000337302380478;-2.001246075335808;0.9999228160562484;-0.041456079693815276;1.564795989492516;-2.001246075335808;0.9999228160562484;-0.041456079693815276;-1.576796664097277;-2.001246075335808;0.9999228160562484;-0.041456079693815276;3.1355923162874126;-2.001246075335808
4;0.9998761172399839;-0.05194161082033844;-0.008000800477540518;-2.001463546900421;0.9998761172399839;-0.05194161082033844;1.562795526317356;-2.001463546900421;0.9998761172399839;-0.05194161082033844;-1.578797127272437;-2.001463546900421;0.9998761172399839;-0.05194161082033844;3.1335918531122524;-2.001463546900421
5;0.9998189328346078;-0.0624272709086794;-0.010001543958301905;-2.0017440241596542;0.9998189328346078;-0.0624272709086794;1.5607947828365947;-2.0017440241596542;0.9998189328346078;-0.0624272709086794;-1.5807978707531984;-2.0017440241596542;0.9998189328346078;-0.0624272709086794;3.1315911096314912;-2.0017440241596542
6;0.9997512626981666;-0.07291308592485375;-0.012002630754836837;-2.002087543118214;0.9997512626981666;-0.07291308592485375;1.5587936960400597;-2.002087543118214;0.9997512626981666;-0.07291308592485375;-1.5827989575497334;-2.002087543118214;0.9997512626981666;-0.07291308592485375;3.1295900228349565;-2.002087543118214
7;0.9996731066627581;-0.08339908179779602;-0.014004123921398685;-2.0024941478833647;0.9996731066627581;-0.08339908179779602;1.5567922028734977;-2.0024941478833647;0.9996731066627581;-0.08339908179779602;-1.5848004507162954;-2.0024941478833647;0.9996731066627581;-0.08339908179779602;3.1275885296683947;-2.0024941478833647
8;0.9995844645345711;-0.09388528441309038;-0.016006086564432156;-2.0029638906766056;0.9995844645345711;-0.09388528441309038;1.5547902402304643;-2.0029638906766056;0.9995844645345711;-0.09388528441309038;-1.5868024133593288;-2.0029638906766056;0.9995844645345711;-0.09388528441309038;3.125586567025361;-2.0029638906766056
9;0.999485336093932;-0.10437171960668216;-0.01800858185069731;-2.003496831847509;0.999485336093932;-0.10437171960668216;1.5527877449441991;-2.003496831847509;0.999485336093932;-0.10437171960668216;-1.588804908645594;-2.003496831847509;0.999485336093932;-0.10437171960668216;3.123584071739096;-2.003496831847509
10;0.9993757210953578;-0.11485841315856753;-0.020011673015409532;-2.0040930398897157;0.9993757210953578;-0.11485841315856753;1.550784653779487;-2.0040930398897157;0.9993757210953578;-0.11485841315856753;-1.5908079998103062;-2.0040930398897157;0.9993757210953578;-0.11485841315856753;3.1215809805743837;-2.0040930398897157
11;0.9992556192676149;-0.12534539078645832;-0.022015423370397687;-2.004752591459097;0.9992556192676149;-0.12534539078645832;1.5487809034244988;-2.004752591459097;0.9992556192676149;-0.12534539078645832;-1.5928117501652943;-2.004752591459097;0.9992556192676149;-0.12534539078645832;3.1195772302193956;-2.004752591459097
12;0.9991250303137849;-0.13583267813941952;-0.024019896312282584;-2.0054755713940935;0.9991250303137849;-0.13583267813941952;1.546776430482614;-2.0054755713940935;0.9991250303137849;-0.13583267813941952;-1.5948162231071792;-2.0054755713940935;0.9991250303137849;-0.13583267813941952;3.1175727572775105;-2.0054755713940935
