;body_0_r;body_0_rdot;body_0_phi;body_0_phidot;body_1_r;body_1_rdot;body_1_phi;body_1_phidot;body_2_r;body_2_rdot;body_2_phi;body_2_phidot
3626;398.5675825906264;142.6203030149265;-77.52047771916106;-3.6835289950668786e-08;-25.419581582263948;-9.50322181976466;1.6827679853058688;-1.712511795422384e-05;-31.77892935099086;-11.083781425133767;-0.3608310401482241;-3.280479934187695e-08
3627;398.71020281676215;142.62014928420294;-77.52047771919784;-3.679585202144738e-08;-25.42908488094581;-9.503375516383917;1.6827679682077483;-1.7106660221581272e-05;-31.790013209295157;-11.083935155865372;-0.36083104018097734;-3.2769588107317595e-08
3628;398.8528228891948;142.61999560864115;-77.52047771923458;-3.675647045010889e-08;-25.438588333296714;-9.503529157878155;1.6827679511280502;-1.708822872758313e-05;-31.801097221302594;-11.084088831435212;-0.36083104021369544;-3.2734427289412584e-08
3629;398.99544280797943;142.61984198820218;-77.52047771927127;-3.671714513593388e-08;-25.448091939261563;-9.503682744286252;1.6827679340667483;-1.7069823425926764e-05;-31.812181386958027;-11.084242451882213;-0.3608310402463784;-3.2699316797913436e-08
3630;399.13806257317117;142.61968842284716;-77.52047771930793;-3.667787597841905e-08;-25.457595698785287;-9.503836275647041;1.6827679170238163;-1.7051444270407057e-05;-31.823265706206357;-11.084396017245263;-0.36083104027902635;-3.2664256542765666e-08
3631;399.2806821848251;142.61953491253723;-77.52047771934456;-3.663866287727656e-08;-25.467099611812856;-9.503989751999317;1.6827678999992282;-1.703309121491626e-05;-31.834350178992516;-11.084549527563206;-0.3608310403116393;-3.262924643410816e-08
3632;399.4233016429962;142.6193814572336;-77.52047771938113;-3.659950573243355e-08;-25.476603678289283;-9.504143173381832;1.682767882992958;-1.701476421344371e-05;-31.84543480526148;-11.08470298287485;-0.3608310403442173;-3.2594286382272467e-08
3633;399.5659209477395;142.6192280568975;-77.52047771941767;-3.656040444403165e-08;-25.48610789815962;-9.504296539833302;1.6827678660049796;-1.6996463220075607e-05;-31.856519584958264;-11.084856383218959;-0.36083104037676045;-3.255937629778276e-08
3634;399.70854009911;142.61907471149019;-77.52047771945418;-3.6521358912426215e-08;-25.49561227136895;-9.504449851392398;1.682767849035267;-1.6978188188994762e-05;-31.867604518027917;-11.085009728634256;-0.3608310404092687;-3.2524516091354945e-08
3635;399.8511590971625;142.61892142097298;-77.52047771949064;-3.648236903818609e-08;-25.505116797862406;-9.50460310809775;1.6827678320837947;-1.695993907448037e-05;-31.87868960441553;-11.085163019159426;-0.3608310404417422;-3.248970567389667e-08
3636;399.9937779419519;142.61876818530726;-77.52047771952707;-3.64434347220929e-08;-25.51462147758515;-9.50475630998795;1.6827678151505363;-1.69417158309078e-05;-31.889774844066235;-11.08531625483311;-0.3608310404741809;-3.245494495650623e-08
3637;400.1363966335331;142.61861500445443;-77.52047771956344;-3.6404555865140574e-08;-25.524126310482384;-9.504909457101547;1.6827677982354663;-1.69235184127483e-05;-31.900860236925197;-11.085469435693911;-0.36083104050658493;-3.242023385047245e-08
3638;400.2790151719608;142.6184618783759;-77.5204777195998;-3.63657323685348e-08;-25.53363129649935;-9.505062549477053;1.6827677813385589;-1.6905346774568816e-05;-31.91194578293762;-11.08562256178039;-0.3608310405389543;-3.23855722672743e-08
3639;400.4216335572898;142.61830880703317;-77.5204777196361;-3.6326964133692405e-08;-25.543136435581335;-9.505215587152938;1.6827677644597883;-1.6887200871031752e-05;-31.923031482048756;-11.08577563313107;-0.3608310405712891;-3.23509601185803e-08
3640;400.5642517895748;142.61815579038773;-77.52047771967237;-3.6288251062241104e-08;-25.552641727673656;-9.505368570167631;1.682767747599129;-1.6869080656894687e-05;-31.934117334203883;-11.08592864978443;-0.3608310406035894;-3.2316397316247844e-08
3641;400.70686986887057;142.61800282840116;-77.52047771970861;-3.6249593056018626e-08;-25.56214717272167;-9.505521498559522;1.6827677307565552;-1.685098608701021e-05;-31.945203339348325;-11.08608161177891;-0.36083104063585514;-3.2281883772323e-08
3642;400.84948779523165;142.61784992103506;-77.5204777197448;-3.621099001707238e-08;-25.571652770670774;-9.50567437236696;1.6827677139320414;-1.6832917116325653e-05;-31.95628949742744;-11.086234519152912;-0.36083104066808647;-3.224741939904007e-08
3643;400.99210556871265;142.6176970682511;-77.52047771978096;-3.617244184765902e-08;-25.581158521466403;-9.505827191628251;1.6827676971255618;-1.6814873699882863e-05;-31.96737580838663;-11.086387371944795;-0.3608310407002834;-3.22130041088208e-08
3644;401.1347231893681;142.6175442700109;-77.52047771981707;-3.613394845024372e-08;-25.59066442505403;-9.505979956381669;1.6827676803370912;-1.6796855792817982e-05;-31.97846227217133;-11.08654017019288;-0.36083104073244593;-3.217863781427419e-08
3645;401.27734065725264;142.61739152627624;-77.52047771985315;-3.6095509727499784e-08;-25.600170481379166;-9.506132666665442;1.6827676635666042;-1.677886335036118e-05;-31.98954888872702;-11.086692913935446;-0.36083104076457423;-3.2144320428195996e-08
3646;401.41995797242066;142.61723883700884;-77.52047771988919;-3.6057125582307987e-08;-25.60967669038736;-9.506285322517757;1.6827676468140753;-1.6760896327836492e-05;-32.000635657999204;-11.086845603210731;-0.3608310407966683;-3.2110051863568315e-08
3647;401.56257513492665;142.61708620217053;-77.52047771992518;-3.6018795917756285e-08;-25.6191830520242;-9.506437923976762;1.682767630079479;-1.674295468066154e-05;-32.01172257993344;-11.086998238056937;-0.3608310408287281;-3.2075832033558765e-08
3648;401.705192144825;142.61693362172312;-77.52047771996115;-3.5980520637139184e-08;-25.628689566235312;-9.50659047108057;1.68276761336279;-1.6725038364347303e-05;-32.02280965447532;-11.087150818512225;-0.36083104086075374;-3.204166085152046e-08
3649;401.8478090021701;142.61678109562848;-77.52047771999707;-3.594229964395704e-08;-25.63819623296636;-9.506742963867248;1.6827675966639832;-1.670714733449793e-05;-32.03389688157046;-11.087303344614712;-0.3608310408927453;-3.2007538230991426e-08
3650;401.99042570701624;142.61662862384856;-77.52047772003296;-3.5904132841915986e-08;-25.64770305216305;-9.506895402374827;1.6827675799830333;-1.6689281546810445e-05;-32.044984261164544;-11.08745581640248;-0.3608310409247028;-3.197346408569392e-08
